      POLYNOMIAL                10001000000100001 
     AFTER_INPUT 00000000000000001111111111111111 00110001
BEFORE_ELIMINATE 00000000000000011111111111111110 01100010
 AFTER_ELIMINATE 00000000000000001110111111011111 01100010
BEFORE_ELIMINATE 00000000000000011101111110111110 11000100
 AFTER_ELIMINATE 00000000000000001100111110011111 11000100
BEFORE_ELIMINATE 00000000000000011001111100111111 10001000
 AFTER_ELIMINATE 00000000000000001000111100011110 10001000
BEFORE_ELIMINATE 00000000000000010001111000111101 00010000
 AFTER_ELIMINATE 00000000000000000000111000011100 00010000
BEFORE_ELIMINATE 00000000000000000001110000111000 00100000
BEFORE_ELIMINATE 00000000000000000011100001110000 01000000
BEFORE_ELIMINATE 00000000000000000111000011100000 10000000
BEFORE_ELIMINATE 00000000000000001110000111000001 00000000
      POLYNOMIAL                10001000000100001 
     AFTER_INPUT 00000000000000001110000111000001 00110010
BEFORE_ELIMINATE 00000000000000011100001110000010 01100100
 AFTER_ELIMINATE 00000000000000001101001110100011 01100100
BEFORE_ELIMINATE 00000000000000011010011101000110 11001000
 AFTER_ELIMINATE 00000000000000001011011101100111 11001000
BEFORE_ELIMINATE 00000000000000010110111011001111 10010000
 AFTER_ELIMINATE 00000000000000000111111011101110 10010000
BEFORE_ELIMINATE 00000000000000001111110111011101 00100000
BEFORE_ELIMINATE 00000000000000011111101110111010 01000000
 AFTER_ELIMINATE 00000000000000001110101110011011 01000000
BEFORE_ELIMINATE 00000000000000011101011100110110 10000000
 AFTER_ELIMINATE 00000000000000001100011100010111 10000000
BEFORE_ELIMINATE 00000000000000011000111000101111 00000000
 AFTER_ELIMINATE 00000000000000001001111000001110 00000000
BEFORE_ELIMINATE 00000000000000010011110000011100 00000000
 AFTER_ELIMINATE 00000000000000000010110000111101 00000000
      POLYNOMIAL                10001000000100001 
     AFTER_INPUT 00000000000000000010110000111101 00110011
BEFORE_ELIMINATE 00000000000000000101100001111010 01100110
BEFORE_ELIMINATE 00000000000000001011000011110100 11001100
BEFORE_ELIMINATE 00000000000000010110000111101001 10011000
 AFTER_ELIMINATE 00000000000000000111000111001000 10011000
BEFORE_ELIMINATE 00000000000000001110001110010001 00110000
BEFORE_ELIMINATE 00000000000000011100011100100010 01100000
 AFTER_ELIMINATE 00000000000000001101011100000011 01100000
BEFORE_ELIMINATE 00000000000000011010111000000110 11000000
 AFTER_ELIMINATE 00000000000000001011111000100111 11000000
BEFORE_ELIMINATE 00000000000000010111110001001111 10000000
 AFTER_ELIMINATE 00000000000000000110110001101110 10000000
BEFORE_ELIMINATE 00000000000000001101100011011101 00000000
      POLYNOMIAL                10001000000100001 
     AFTER_INPUT 00000000000000001101100011011101 00110100
BEFORE_ELIMINATE 00000000000000011011000110111010 01101000
 AFTER_ELIMINATE 00000000000000001010000110011011 01101000
BEFORE_ELIMINATE 00000000000000010100001100110110 11010000
 AFTER_ELIMINATE 00000000000000000101001100010111 11010000
BEFORE_ELIMINATE 00000000000000001010011000101111 10100000
BEFORE_ELIMINATE 00000000000000010100110001011111 01000000
 AFTER_ELIMINATE 00000000000000000101110001111110 01000000
BEFORE_ELIMINATE 00000000000000001011100011111100 10000000
BEFORE_ELIMINATE 00000000000000010111000111111001 00000000
 AFTER_ELIMINATE 00000000000000000110000111011000 00000000
BEFORE_ELIMINATE 00000000000000001100001110110000 00000000
BEFORE_ELIMINATE 00000000000000011000011101100000 00000000
 AFTER_ELIMINATE 00000000000000001001011101000001 00000000
      POLYNOMIAL                10001000000100001 
     AFTER_INPUT 00000000000000001001011101000001 00110101
BEFORE_ELIMINATE 00000000000000010010111010000010 01101010
 AFTER_ELIMINATE 00000000000000000011111010100011 01101010
BEFORE_ELIMINATE 00000000000000000111110101000110 11010100
BEFORE_ELIMINATE 00000000000000001111101010001101 10101000
BEFORE_ELIMINATE 00000000000000011111010100011011 01010000
 AFTER_ELIMINATE 00000000000000001110010100111010 01010000
BEFORE_ELIMINATE 00000000000000011100101001110100 10100000
 AFTER_ELIMINATE 00000000000000001101101001010101 10100000
BEFORE_ELIMINATE 00000000000000011011010010101011 01000000
 AFTER_ELIMINATE 00000000000000001010010010001010 01000000
BEFORE_ELIMINATE 00000000000000010100100100010100 10000000
 AFTER_ELIMINATE 00000000000000000101100100110101 10000000
BEFORE_ELIMINATE 00000000000000001011001001101011 00000000
      POLYNOMIAL                10001000000100001 
     AFTER_INPUT 00000000000000001011001001101011 00110110
BEFORE_ELIMINATE 00000000000000010110010011010110 01101100
 AFTER_ELIMINATE 00000000000000000111010011110111 01101100
BEFORE_ELIMINATE 00000000000000001110100111101110 11011000
BEFORE_ELIMINATE 00000000000000011101001111011101 10110000
